Column1,Column2,Column3,Column4,Column5,Column6
WDFWH,2001/02/17,798.06,VTCGP,-887.72,2014/04/02
UKIMO,2012/07/07,-983.03,EYRPO,903.37,2014/01/12
IFACS,2006/04/12,-776.55,JTMOC,-256.31,2012/11/20
OKOCU,2008/09/04,190.28,YQNOR,158.68,2004/02/15
BLPSM,2013/03/19,-69.5,HMRKV,-776.61,2007/12/08
WJSZK,2009/06/08,-708.7,SZEER,-430.98,2006/07/22
GTXBT,2006/04/29,-769.09,NMAXV,-599.91,2010/02/11
JCGIK,2017/11/26,212.21,UMWJI,683.13,2013/12/07
TNETV,2011/12/05,-172.19,DXIVZ,148.25,2016/12/17
THBOL,2016/07/17,473.77,SMKTI,276.81,2014/08/24
KNGRG,2016/01/16,-534.01,JOULD,992.66,2015/04/21
TRHSF,2001/04/26,292.99,KDIXG,-580.68,2012/01/19
KLMVI,2006/04/14,42.63,INFWK,396.35,2009/03/07
BGFCR,2000/05/12,842.26,OOFKG,464.39,2001/09/06
XENUO,2009/10/31,-275.05,VDWDM,-84.72,2019/10/30
JLZAO,2014/12/06,-12.83,PUMOT,631.82,2007/03/05
LZPFZ,2010/12/19,207.54,SKQVO,244.23,2010/02/28
GSCNR,2004/12/02,-843.54,ZWLXF,-780.49,2009/10/03
KDULH,2015/11/27,840.59,HMZDX,-216.26,2000/05/14
GROXR,2010/10/21,423.22,DEKTH,98.11,2002/01/13
FMPPP,2012/05/22,-666.32,WKTZT,134.32,2003/08/27
VHWGC,2018/02/26,407.27,RJCYC,293.69,2007/01/26
USFZR,2008/06/12,-649.38,TCNEL,-520.63,2014/12/12
AUGRE,2008/08/17,-34.82,QGUOS,223.89,2010/08/04
LLLBP,2015/11/23,-335.56,TUJUU,-706.54,2012/02/22
LARKX,2011/11/01,911.76,VQHXU,416.62,2007/05/19
GOKIB,2017/02/21,19.42,NVPYX,-364.59,2003/07/12
DILFW,2005/01/02,115.42,DPYQT,-822.18,2000/01/18
MHULF,2008/09/10,-727.33,QANTW,-399.93,2007/12/08
JUHTY,2003/07/14,556.93,KDYNV,-698.01,2012/06/17
VHIYR,2016/03/24,94.11,ZPPEO,812.65,2017/01/12
QIMSL,2008/03/04,-628.27,HYSNO,530.33,2004/06/05
FIBHY,2014/03/11,541.17,MNWKH,-175.94,2009/03/31
PEMLC,2012/10/05,76.17,GZJCQ,-896.46,2012/11/18
UOXYW,2017/10/24,-86.12,VFLRF,383.88,2005/12/08
XZIWO,2004/03/07,-474.89,LKWJM,114.09,2017/01/14
QALZT,2012/03/26,-9.99,PZXOR,-38.59,2001/06/16
SOZZZ,2004/11/08,809.86,MXNBY,369.99,2014/04/10
OTBBR,2003/04/26,397.38,HRWBP,-218.03,2016/03/08
NQGBK,2014/08/28,-1.7,ZXQFI,-797.43,2009/10/30
FFKJW,2001/04/28,398.84,WOSUK,-810.83,2000/07/05
UTMYM,2009/09/19,554.73,DLNTP,158.19,2017/05/12
BBXHG,2002/04/17,-663.07,LKNYF,-605.14,2000/06/11
HSDOF,2018/04/30,-66.17,VLIXW,-44.79,2003/12/30
KYYBR,2005/10/05,-328.31,AQRIG,898.23,2011/03/02
GEPSA,2007/01/22,822.41,TEIXX,-467.62,2018/08/21
CHJHI,2006/08/07,735.53,OTCLE,395.48,2016/12/08
LWHEQ,2016/10/05,-68.33,TOXHI,-77.71,2004/11/30
GMSZX,2011/05/17,-70.74,KKUTS,731.56,2000/12/03
BXTCK,2001/09/21,719.96,CECPS,452.3,2013/09/01
LOEUY,2004/06/15,-784.03,NVCLB,-749.15,2006/08/17
TVWSP,2012/10/11,-419.35,PVDYG,-104.44,2003/12/01
EETUN,2016/08/22,271.58,TWLBV,602.55,2001/06/22
SJOMZ,2015/11/06,619.83,XRKBB,-903.77,2018/05/25
DAGDA,2015/10/10,149.09,OHMZV,606.19,2001/11/09
EKWVX,2002/03/08,234.25,PTLSG,-72.85,2003/01/23
HLVPY,2007/10/08,588.57,LCWSE,737.0,2015/01/04
SBPWM,2000/09/21,218.29,UULSD,-144.61,2015/11/25
OXYLY,2002/12/10,-450.5,SZXAP,805.26,2017/09/17
JZHMW,2008/08/23,-433.71,YMPUM,671.67,2007/03/23
ZPPRP,2019/10/11,-563.84,NUXKZ,-575.5,2004/12/29
PNLOU,2015/05/03,-724.42,BLVCY,-106.84,2003/11/18
SAGHN,2005/03/11,350.06,OCGIR,-260.04,2005/08/18
YJFUA,2002/08/05,664.12,GVMND,415.53,2015/03/13
TOVKF,2010/10/13,-251.1,NWDIW,665.55,2010/10/02
WKRIX,2017/08/24,-237.01,LJLAT,-596.18,2014/05/29
NUTDD,2011/10/05,-379.7,XCJAT,-213.29,2018/05/15
NYKYP,2013/08/25,-453.76,GSRZD,-689.77,2001/11/23
JTDPA,2015/03/09,75.05,BLFFE,-5.04,2001/10/18
EONTO,2002/10/14,649.02,BFQMJ,-455.2,2009/12/21
OXORZ,2008/08/25,-493.55,UHNNQ,395.64,2016/11/10
JCOKP,2013/11/10,-611.63,KHOXZ,-632.25,2011/11/21
FFUZH,2011/03/06,668.29,GRGIS,828.5,2006/08/27
PITSF,2019/08/11,465.2,YSXPD,-308.59,2007/03/06
LSAZZ,2017/11/11,326.07,RNHKH,873.5,2012/07/01
DVYSX,2000/04/01,-825.47,BBJWT,195.45,2010/04/21
OOLYA,2019/09/17,674.92,YRDOL,-29.24,2016/09/20
LGZIZ,2008/01/18,27.95,DSQMA,204.4,2017/08/06
NVBYL,2017/10/27,-914.93,HTJCW,-109.4,2002/04/12
EPXYQ,2019/05/19,137.23,GPZYI,-189.5,2011/06/06
DFMZA,2003/11/08,469.22,SDEXM,879.99,2002/09/28
KCDTB,2006/04/11,802.25,ZGYGA,646.48,2013/04/08
SFGXS,2005/08/27,188.15,HZVOX,395.45,2003/06/17
YAWLB,2005/02/24,-459.11,CZIUH,492.77,2006/01/17
PQRPB,2008/01/18,455.7,LDEDF,779.94,2016/02/14
HZFPY,2013/08/07,-129.62,LBBXV,109.18,2013/08/02
TGNOT,2010/12/25,711.26,YKXHD,-969.87,2013/05/11
HSHSE,2006/11/05,430.54,NQWIU,-992.17,2008/01/05
YTDDH,2005/06/08,-65.62,QONOT,-535.78,2006/09/07
PFVSP,2006/08/07,-471.26,ZGTPA,189.83,2018/01/06
RVMBG,2003/11/24,495.98,ORLZS,365.46,2017/06/28
QDYRF,2001/02/01,894.39,OHTYF,-586.79,2006/06/28
MXMEK,2000/01/20,-839.99,BFZCL,-965.09,2010/07/24
OHBPX,2011/02/03,-782.88,FBVXP,-148.83,2009/10/24
PDUJE,2019/05/04,959.0,MOVAG,-36.65,2008/03/09
DVKRR,2012/08/25,911.74,TJYNB,967.06,2003/09/19
WIDPE,2014/01/23,116.84,REEMM,653.37,2003/02/17
CMVBM,2015/11/02,274.8,RGIBE,-235.92,2019/09/15
UDVZG,2001/12/08,-993.11,DUMRR,513.52,2000/07/31
OIYFV,2018/04/12,-823.76,FQYKB,-243.31,2013/09/03
PPUSN,2007/06/26,270.19,OLCWZ,100.01,2016/12/24
NDDSX,2018/03/02,98.11,ETMSK,-584.84,2008/07/19
JCOIC,2017/09/08,188.92,LVGKR,187.73,2017/05/05
QJZIT,2015/06/18,615.6,CNABT,-41.59,2015/09/20
ZNJUJ,2003/09/28,739.08,FMDMP,-858.99,2017/01/01
CVMJA,2016/07/31,-292.99,LHVGO,-903.79,2018/02/18
TACVV,2015/01/18,504.64,AHPRD,842.47,2003/06/07
MTHQS,2005/06/21,-76.24,QGTOT,413.36,2015/01/19
CQTPC,2007/06/15,262.32,OYLGT,-950.97,2013/12/17
SLYZG,2016/06/21,89.09,EAGDP,-587.43,2015/10/15
SDCAH,2015/08/26,712.67,NCHNP,-53.77,2016/12/11
FNPRH,2010/08/08,-59.03,OTUDE,819.45,2009/05/18
TNVPF,2009/11/02,-222.02,ZMOSA,-241.68,2012/09/27
XZEYF,2019/02/18,260.71,OVOQH,631.48,2005/08/17
HJWYL,2007/04/19,217.8,TKLNT,-483.43,2013/09/17
DDCYK,2018/04/17,209.51,RZYJU,632.27,2014/12/16
WYQTU,2009/09/16,683.93,IBGUJ,-916.3,2017/12/02
GDEIE,2017/01/15,-133.76,CCNAW,-680.62,2009/04/10
FBVTJ,2017/06/12,-469.44,ZUOQU,251.88,2007/09/15
EJSPV,2004/08/12,-964.19,DSTOO,-767.26,2018/04/15
PXXRM,2013/05/10,-258.54,AUXOS,-945.88,2003/06/27
EVGPD,2019/12/26,50.21,BZLTP,614.9,2010/04/26
AYIWH,2006/04/10,-187.55,TKQYB,426.72,2012/06/16
IKSRD,2006/07/10,601.47,UHHSE,608.46,2002/10/29
HCOCQ,2000/12/04,-348.3,YRMRS,100.44,2011/04/16
HPOHS,2012/09/02,-679.34,GAOAB,348.08,2018/04/22
LWSYS,2000/11/30,136.28,FTMLY,-895.61,2009/09/07
XYNON,2001/11/05,323.71,LCZPY,98.82,2007/12/31
KNFDF,2000/11/27,-891.06,YVRMS,-189.35,2001/06/16
CZEWV,2002/05/01,758.4,KRGSC,-286.58,2014/07/13
OFYGF,2003/03/06,403.0,QEKDW,-54.02,2017/11/01
BBPUY,2015/08/17,961.28,ASNQQ,407.89,2004/03/30
KKSRZ,2018/11/08,-821.66,NLGAY,497.93,2019/03/10
FEICN,2010/04/27,-487.17,ITVGG,-804.43,2012/03/30
MDQVR,2018/10/20,56.61,LEZNW,-781.56,2014/01/30
LKWSA,2004/10/13,981.06,QKXJG,-220.52,2004/05/16
PHKVR,2000/11/12,-327.29,OATNG,-770.71,2012/07/05
AQZSU,2001/01/27,-690.73,IRDTZ,355.28,2001/03/25
PBMJZ,2001/01/16,673.39,RVJDP,239.27,2003/02/16
BUFTF,2019/09/02,-201.14,NSLRS,711.44,2009/02/03
KNNBF,2002/07/03,-370.0,LMUCJ,132.8,2007/06/03
BBKON,2010/02/13,-673.13,ORCUY,-717.61,2005/07/26
SKZGK,2008/12/23,-489.08,KCSZU,-402.95,2005/07/30
XQKQY,2015/05/28,-363.78,LRFKQ,932.58,2006/06/04
AHXIT,2013/05/17,-202.06,FSHZQ,-400.91,2009/11/22
WQLOH,2017/02/15,848.84,IHXNM,469.01,2007/11/05
TERCS,2006/06/07,915.57,WBTPG,61.56,2005/09/25
XDPXG,2017/11/22,-712.43,XIKVD,629.61,2015/09/12
AXDEI,2010/03/23,-337.47,BDZYQ,779.78,2012/01/30
MUKOG,2017/08/20,995.09,UEYFD,-566.29,2017/04/05
THGPX,2002/11/13,-218.49,AFWXY,299.3,2010/09/16
HMIDF,2010/08/22,442.35,BFUON,431.61,2006/08/25
VNKOZ,2006/08/27,255.23,AHOQS,214.86,2012/06/23
TJEAX,2015/03/04,-731.17,NQAXK,-359.63,2009/09/13
AGWWQ,2007/12/14,-846.33,BUUUS,885.39,2014/12/05
ZDYNX,2006/05/31,-986.15,CCGZB,-158.04,2001/02/11
XXBJY,2016/02/28,636.1,NEURC,-820.42,2009/09/03
DICLT,2002/01/20,-606.16,VSPXB,-263.13,2008/11/08
ZMHRJ,2000/10/17,-437.66,TBKHY,-142.75,2008/12/14
OLMSK,2019/10/25,20.75,GXTKR,812.95,2014/08/20
MFSDK,2000/07/19,-475.3,FTFOT,445.69,2002/07/22
BXSYZ,2011/04/11,947.55,XSICC,-206.48,2014/08/31
YHDPG,2013/08/30,40.47,WPSEV,-628.95,2009/09/29
QYLLH,2015/09/03,877.5,RZWDD,-9.62,2005/11/27
JPSBM,2003/09/15,899.81,HLFWO,-638.03,2013/01/15
APFLH,2016/08/26,787.25,QVOVV,-228.38,2007/05/20
QIXWQ,2003/07/11,-65.85,LSQBU,414.95,2018/01/02
UKUBA,2003/11/25,994.04,YILPQ,188.16,2001/12/09
AODNO,2017/01/20,947.37,MCJCE,512.71,2010/09/15
TNJNB,2018/11/26,659.09,HIJKS,-309.27,2005/12/27
YEAWI,2018/05/20,14.95,FLGUK,512.35,2009/09/08
TKRYV,2009/10/19,-237.78,KZAZN,-696.77,2007/07/15
UZKQV,2001/07/19,-82.48,IHRME,110.42,2003/07/01
RKYSD,2017/11/13,894.09,VNOBX,-41.71,2009/11/21
MFQRQ,2017/12/11,814.75,MPQGY,534.04,2004/09/12
FBOPU,2014/10/06,-532.97,EYJWY,-563.46,2005/10/23
BQSHC,2011/07/24,-593.47,REQUF,-498.54,2015/08/31
XGSMQ,2004/03/08,-573.09,KOZLG,-723.61,2010/03/30
QNCUU,2003/07/11,-775.14,QACGS,102.16,2019/02/28
TGODB,2017/01/15,167.41,RDSKC,-88.16,2009/05/16
HILPW,2017/10/09,758.67,YQTOI,422.25,2001/02/21
IVXXR,2013/06/04,10.94,KUICY,873.64,2015/05/22
ORKQG,2016/04/05,11.28,YJEXC,-614.22,2014/10/20
OMPET,2016/05/23,156.72,WINDN,583.52,2017/10/13
HZCCQ,2016/02/27,-837.99,NSBHS,-130.27,2008/12/12
BCBHT,2016/03/10,821.72,PNWXN,791.99,2012/11/03
GZDHO,2018/11/17,742.2,KYYBE,804.75,2013/08/19
BDIZV,2008/09/16,-277.76,HAGIA,843.22,2011/09/13
CUGUJ,2016/03/22,-831.19,ROGTX,350.97,2000/12/01
XXOVF,2010/01/28,764.57,AGOOV,-244.17,2000/01/22
FSRPT,2013/10/01,-617.8,HHWTD,-392.96,2005/12/11
DISHM,2018/05/01,-866.0,FYQQR,303.31,2003/09/28
PRKRU,2004/07/29,-170.19,NWZZT,-731.99,2003/12/29
KJUWN,2008/10/21,-806.41,ANKGN,-67.74,2008/06/28
MXRKN,2003/11/20,849.68,HXGNL,-421.47,2012/11/04
SRZSI,2011/12/23,879.06,NQTWY,249.52,2015/08/02
WRWFU,2019/01/03,-821.06,XCUDB,-304.43,2011/04/23
GBLBQ,2014/12/02,501.76,ZIBXN,269.61,2004/12/16
ADYFP,2006/07/12,345.76,UHIMI,293.08,2008/10/12
UCSSY,2015/04/28,926.55,TFZGS,-744.36,2018/03/06
LLBTB,2015/07/07,-133.47,LJLNU,997.21,2015/02/26
RMGGS,2011/08/25,-389.99,VOHMN,994.77,2010/06/04
JCBWI,2001/05/18,73.84,WCJWZ,8.03,2000/03/29
ITSKM,2011/01/07,793.37,AIKMR,-791.79,2018/01/17
WJNRF,2002/11/28,-407.65,MCMVA,-206.7,2008/11/18
EENRN,2018/08/13,343.72,ACTUD,-594.68,2012/07/24
CSSYJ,2008/10/01,187.72,ADTCV,25.03,2006/06/29
MEELO,2016/01/26,-682.65,OCYKP,-93.06,2018/12/26
ZSPXR,2010/10/28,281.93,EPGRL,-34.82,2019/02/15
ZYJYF,2002/06/01,337.66,CLIQW,-371.21,2000/05/06
MMSZO,2012/12/13,516.06,FJYPP,434.3,2014/10/21
UTVPI,2015/09/10,-15.09,MMLKO,-312.31,2018/08/21
WDFPW,2015/10/20,765.42,VRWJT,-116.57,2004/02/28
WCWVU,2006/10/11,734.62,IMPXE,724.31,2006/10/12
LHQHW,2000/09/07,267.32,FCKGM,-397.0,2019/12/01
JBFLQ,2012/08/01,-320.25,PFFGZ,45.88,2019/01/12
BYIAC,2019/09/25,-258.76,YFBWT,-921.99,2000/04/12
OLBCO,2019/05/01,-931.22,VEDVN,-957.68,2002/08/15
EDDWP,2010/07/14,405.76,GZSLA,-844.57,2011/11/19
NYBPS,2004/01/26,-836.54,IRQUI,912.15,2006/01/09
OJZML,2012/03/21,661.97,GSHVO,-497.7,2008/06/24
QPJVP,2002/07/30,151.63,QDSVQ,743.11,2017/12/05
UJVNX,2005/05/16,-203.84,YUBIO,145.56,2016/09/10
TRGEB,2013/12/06,-102.38,RWHQS,379.69,2016/11/29
UUSAL,2015/07/19,-586.4,VYNCD,-471.5,2016/03/15
JCXTS,2010/03/14,-509.93,VTCDM,-247.95,2005/02/10
DNXMD,2001/01/31,639.41,WHOWV,818.8,2001/01/12
PIYRR,2018/05/06,-803.03,TGCSE,848.41,2008/03/15
ZJDIR,2018/11/14,606.73,KKQER,-894.23,2009/12/11
DCBNT,2018/05/12,-919.48,HEAWN,457.46,2019/01/05
QOPTI,2005/10/01,447.51,BKNDP,275.38,2004/12/10
CMBKI,2015/07/08,228.82,XHDDB,12.62,2000/05/23
QCHPA,2017/10/15,144.15,XNXVR,-71.37,2018/07/31
FTBRU,2001/06/08,-505.2,ILMXR,547.42,2010/02/21
DFJTH,2008/03/27,-437.08,JBERE,165.4,2014/06/28
ZFIJG,2008/12/27,-873.39,XEDBN,-384.5,2012/05/26
ADLGG,2012/03/10,-298.92,UDHCA,593.24,2015/12/26
PTGKZ,2002/12/24,-868.55,MVMEA,-247.6,2007/06/11
GDNRA,2017/07/11,-870.32,QIUCZ,-361.29,2017/01/14
CMJRX,2007/07/23,-121.05,VOLDD,14.74,2006/11/21
DENMV,2006/10/26,56.32,SRGDK,309.35,2006/03/04
QURJO,2012/12/26,818.07,LXGFM,339.24,2015/06/12
VRQWF,2006/02/12,-683.99,TBMFW,296.45,2013/06/13
YIFZT,2002/01/28,-892.74,MCDPX,901.42,2013/05/23
JOCUC,2006/05/21,-457.5,PFWQS,-50.29,2006/10/05
AUDUK,2014/12/25,311.77,SNDZL,156.36,2008/07/11
OIQGE,2011/01/17,917.54,MXQXM,-983.53,2005/01/16
CSPCH,2008/11/12,159.91,NCQDT,458.97,2011/01/19
EWIMP,2001/01/27,-25.01,HPCCE,152.14,2008/05/10
QRSWY,2001/02/22,-621.76,SMLTH,237.04,2007/03/10
RRNMG,2014/11/10,970.23,MBTWP,-41.53,2006/08/01
BYNWF,2005/09/07,643.25,SMLLE,-339.56,2003/02/04
KEBVW,2014/05/02,16.42,EGTNP,423.42,2015/05/23
CSZAY,2012/01/03,-206.45,TVIYC,348.01,2016/01/28
NUZHA,2003/03/30,371.27,CRHJX,962.77,2006/11/14
IZMLZ,2001/12/08,365.37,OAUHO,478.37,2004/11/26
PKHWJ,2005/11/07,-998.61,KWQML,-206.95,2003/03/19
XBUFP,2013/10/19,826.44,NBEJK,949.48,2008/08/18
USDQM,2014/08/16,336.8,EKQMI,634.52,2018/12/26
DEDQK,2018/12/30,558.52,YPQIO,756.54,2003/05/20
JDQKZ,2016/07/04,-485.88,XHRDP,-479.45,2001/02/15
GTLWA,2009/12/05,597.13,GTTIO,897.86,2012/07/21
VWPOL,2000/08/24,220.01,IYGAZ,-53.02,2007/11/02
BIDVD,2000/07/21,818.76,GTNTF,781.06,2008/03/22
CVAYM,2007/12/15,414.13,ELUTW,-197.18,2010/09/03
ZYZTK,2003/04/24,563.4,OIBVU,-842.83,2019/11/02
PRHSW,2002/05/21,298.37,OTCEW,-606.4,2000/12/24
VENEE,2009/02/28,105.5,BMZQY,-632.13,2000/08/10
YKAMK,2011/08/14,195.4,KNHDI,-981.24,2014/07/28
RXLAB,2006/10/07,405.83,PMHMJ,51.7,2018/05/28
PLPKQ,2004/02/06,138.17,LOWCO,946.06,2000/07/24
UDPBR,2016/05/20,412.13,HKWDI,906.01,2002/03/21
KLZNR,2000/02/17,423.04,FFIAM,-614.99,2003/06/25
GUJEW,2018/10/14,273.52,EIKWE,-927.19,2018/11/21
KQKGC,2016/08/12,327.66,UWZNV,994.85,2001/01/12
KQGRT,2004/02/10,590.95,TWNVK,614.3,2009/07/21
QFOUO,2001/10/27,-200.72,EKDTC,338.21,2011/11/25
TEOQA,2003/06/19,406.47,RLDER,-400.8,2012/09/02
INFOO,2004/12/30,-264.58,ANGQB,-768.27,2006/08/08
ANATB,2019/01/29,-210.01,XOOJT,-383.56,2012/03/07
OWIKU,2000/10/03,708.99,ZNQNB,-173.12,2018/03/16
UAGDL,2005/06/21,-929.5,QNUPH,-945.06,2002/09/24
STLQX,2013/10/02,843.15,LLSWI,196.36,2014/07/27
HWOUO,2005/01/18,418.31,JNLQN,583.63,2005/07/13
SYRKP,2001/06/10,-905.92,XFUSD,385.77,2010/03/06
LBLPF,2005/01/21,-774.47,SBTPM,662.95,2000/05/20
HZUDM,2003/05/31,-502.7,TTLDS,386.06,2015/02/04
NEPGQ,2009/11/09,-50.99,QOIOB,394.83,2000/03/25
DHCGC,2006/06/29,-686.13,VQHDW,610.44,2002/04/06
MLHXZ,2009/11/28,561.16,FQUET,117.99,2006/01/03
IRGAE,2002/01/15,-431.03,QTIEU,-144.75,2016/12/01
ZIMDW,2017/07/01,932.91,DRAYH,-428.34,2014/11/13
KMIVM,2013/04/05,-172.23,JMLCT,-489.14,2004/05/18
ZDCEO,2005/01/21,-298.12,YYRAP,-235.57,2015/01/21
FOINN,2019/05/13,-583.97,SCGHU,-231.07,2001/10/24
KWFTT,2009/04/19,861.69,SOSKO,617.3,2017/09/02
HOCXX,2018/10/04,-4.94,LSVYC,651.66,2015/06/27
OPZPK,2013/03/27,-2.14,HSMCV,590.6,2016/12/09
GINVH,2013/05/14,-922.02,UOVGQ,-708.89,2003/09/30
AXWTT,2014/11/17,-835.7,NMSJB,-63.45,2017/11/22
MNLCK,2010/09/26,69.53,RXAGJ,981.46,2007/04/18
HMUZQ,2011/03/20,361.08,FDTZX,-419.48,2006/10/10
PIKSD,2002/08/16,325.76,KNVCH,976.19,2005/04/16
FTUOB,2005/08/02,-674.49,MUHAX,956.99,2009/05/20
SZLIA,2003/09/25,-712.92,BLNVP,-216.59,2016/09/07
FKVRR,2003/04/29,-689.52,VXDMB,-139.69,2016/08/04
MGWGP,2018/04/16,-312.03,QTHYE,-115.98,2005/03/17
MDKIA,2018/04/28,941.57,UFEGN,981.99,2015/04/03
BVIUK,2000/07/15,214.81,AMOQT,-472.94,2011/01/30
XWHGN,2017/03/17,633.42,EBBUH,-408.16,2006/03/09
ONTDW,2011/02/06,-891.12,KKRFU,-50.61,2004/12/15
OCLVE,2015/09/11,-326.14,JBEMI,584.16,2010/04/20
JAGGJ,2009/01/12,355.68,TGHNJ,-434.46,2015/07/13
OBFXW,2003/04/05,82.42,YTKSS,-889.44,2011/10/21
RFICF,2003/09/15,-778.34,QYWEH,121.8,2017/03/13
YIDBA,2018/11/30,640.33,LMBSE,-993.17,2010/06/27
IUEBR,2019/09/24,-293.57,LPULD,-949.92,2004/02/29
IEXFT,2014/02/17,-783.17,VRWFI,884.65,2013/09/16
QSPEQ,2008/12/12,894.93,VMWAR,992.0,2016/12/01
XDKYQ,2006/01/13,-578.78,MMXYN,-886.4,2013/10/15
JIIVF,2004/10/16,-228.3,ISZFW,848.49,2002/01/02
HWKNV,2017/01/23,636.28,PPYIL,-305.1,2009/07/09
EZDWN,2002/02/07,-18.57,LFZAF,-554.57,2009/05/26
NLLBG,2009/10/23,787.31,JVDKY,-154.14,2003/09/09
PYZRS,2018/03/28,647.72,ZDREN,-593.76,2018/03/09
ZHDJD,2007/05/16,187.14,AKLKZ,-892.92,2019/08/26
ZWEKC,2014/08/31,396.92,SXPID,-664.94,2000/03/06
DCBSV,2014/04/23,30.43,YCPLO,422.76,2019/03/01
IZCOI,2006/05/12,553.38,DUYUY,-247.15,2013/05/05
HBEHI,2001/10/01,580.22,QQCBM,965.24,2017/07/28
WEWYI,2011/07/11,942.67,IBFQO,-817.25,2003/03/18
KGGIJ,2014/11/23,-249.0,YKSRO,-56.63,2017/07/04
WZXQF,2019/06/19,502.13,AYMNJ,-840.43,2004/11/18
PASAB,2002/08/28,883.0,OZKHI,903.79,2009/09/09
IULOP,2018/04/27,634.43,PDPIR,922.63,2018/07/28
LTBYC,2007/12/03,-266.84,ZKHRH,-190.12,2010/04/23
OISSO,2019/08/31,-681.99,FYAQE,304.35,2008/12/01
IHKJL,2006/08/25,-479.05,IALNJ,37.9,2003/06/16
FIAKV,2012/04/02,-72.99,SGBKH,370.64,2008/05/03
USDJV,2011/07/08,467.75,AUUFT,-776.95,2006/02/04
AHIMD,2000/06/22,-877.93,SOBNJ,-759.08,2012/07/16
HUYSN,2000/12/22,960.1,KQQUW,772.04,2005/01/28
ZLKJE,2001/08/19,-930.43,SBROR,879.69,2019/01/02
KBIGO,2013/10/26,735.85,WRPJF,741.72,2003/10/25
USMIC,2004/02/29,-751.65,QVUPA,-499.15,2015/12/30
XGRLY,2014/10/07,-716.82,WTSBY,-936.33,2002/12/26
YLVVJ,2008/07/13,73.56,SHWNH,-545.16,2017/07/01
SHJGG,2009/09/11,-109.54,BBOAM,719.04,2008/12/18
GLDHZ,2011/05/05,-44.0,MBMOK,439.93,2008/03/03
QMKJN,2004/01/13,-35.29,YXRJI,-515.0,2001/08/05
VVIGQ,2019/05/12,-49.91,GICRW,950.8,2008/09/17
BLJNU,2005/07/02,-45.28,OWBRO,-365.4,2001/06/13
JFEXD,2003/05/09,979.47,GRFWW,572.5,2012/10/06
AGMFR,2006/06/02,489.36,DJGXX,296.08,2017/10/05
QAKZD,2010/01/07,668.59,YTTEJ,658.64,2011/05/04
OYOXC,2000/02/05,219.87,EXBGQ,-796.41,2000/04/21
AEBEV,2015/11/02,988.67,HVGNO,706.88,2008/01/05
SIVEO,2006/06/20,-815.33,BANGJ,-817.81,2010/10/24
IVAXV,2004/03/02,160.12,LLHNC,-594.2,2000/03/05
XWRAX,2000/07/06,253.41,POBFM,-710.53,2013/09/24
BRDRA,2011/12/16,-428.42,PWOXL,235.15,2016/05/10
JOCHD,2001/05/31,-799.16,FHEOR,340.64,2013/03/15
AIGOX,2016/09/18,-100.14,WINYD,-381.74,2000/06/08
FSNKY,2008/01/23,115.32,HSVWR,685.63,2013/03/25
FYWMP,2006/03/13,-905.45,JXCHQ,488.5,2002/12/20
ZQADY,2016/03/31,862.56,PMXXP,-509.79,2008/10/24
IXEGW,2004/01/27,943.24,PJBMT,900.0,2000/06/18
TWQII,2013/06/03,-61.13,VVWNQ,-454.54,2018/05/13
ACLWD,2014/12/19,-149.65,LRTHG,-468.99,2004/05/07
BJDAB,2002/10/15,271.86,XNSXW,-283.96,2008/06/07
CFYUG,2008/10/18,925.61,NFRHV,-418.77,2000/10/12
ECZFN,2001/12/17,-770.71,IASVU,-279.67,2015/02/11
SABTH,2011/05/08,920.79,LAVLY,740.63,2013/02/14
XPIGB,2005/04/28,89.02,RHHIQ,90.75,2018/11/19
ZYQSZ,2001/08/26,951.65,WRCZY,-364.66,2004/06/01
BZMVE,2007/06/17,-628.49,HSDGW,-531.74,2007/01/18
XGTBB,2017/11/23,413.23,BLXXM,-683.86,2002/10/29
REJMA,2006/08/15,-82.27,AFHGJ,-866.31,2010/08/27
YGRJI,2003/09/29,529.64,XNAEH,-211.35,2014/04/28
GUWWB,2015/05/25,426.24,HQCAM,50.78,2002/11/30
ODJGY,2000/04/17,389.54,JQFKR,-316.16,2006/06/24
WQPTV,2017/05/05,-918.28,YSSSP,-554.51,2005/08/01
MSSRO,2018/04/24,994.21,FVTIA,-923.87,2016/07/05
YSTYK,2006/05/16,922.59,OBGYZ,-824.73,2002/08/03
EJBQH,2004/07/19,-224.68,XDCGF,879.13,2009/03/08
WFCLR,2019/02/21,-256.97,AYDIA,-922.13,2009/09/02
QJNWK,2013/06/02,-99.93,GQHHA,29.45,2001/12/26
KZVKL,2011/04/29,200.03,LXWEE,-719.51,2015/11/22
NCXMG,2011/05/06,587.72,RUGVK,-225.66,2001/06/30
YUVUV,2016/12/07,159.51,DPBBY,200.8,2000/03/22
EMKWA,2018/01/18,332.26,MKPHQ,317.78,2002/04/18
ELSBL,2000/01/29,570.31,ZOEYG,-122.62,2011/06/26
BEZJN,2012/04/28,-680.98,LRTYW,-281.95,2011/11/16
WXEHU,2013/07/26,25.95,CDMBX,-763.61,2019/09/30
WILJY,2002/11/07,-73.51,CCAPL,-359.36,2001/09/24
ARQBU,2015/07/28,-758.14,VXYLH,737.58,2019/01/04
QJVCF,2014/10/16,-326.65,AOZSG,403.32,2003/03/22
THROL,2004/12/06,-761.68,QEOKS,-103.62,2011/09/04
XKPQF,2019/04/01,328.43,SCRQD,969.12,2008/02/12
